validity_mean,cont_prox_mean,cat_prox_mean,sparsity_mean,diversity_mean,cont_count_diversity_mean,robustness_mean,fidelity_1nn_0.5_mean,fidelity_1nn_1.0_mean,fidelity_1nn_2.0_mean,validity_sd,cont_prox_sd,cat_prox_sd,sparsity_sd,diversity_sd,cont_count_diversity_sd,robustness_sd,fidelity_1nn_0.5_sd,fidelity_1nn_1.0_sd,fidelity_1nn_2.0_sd,dataset,backend,method,n
100.0,-0.2678666666666666,0.6833333333333333,0.37,2.5940000000000003,0.89,0.8336,0.5793,0.5559999999999999,0.5508,0.0,0.0381404810705934,0.0892354355789389,0.105934990547138,0.3591718870463618,0.0737864787372621,0.0871718609032372,0.1600791817958989,0.1752667807784591,0.1817885218232071,adult-income,PYT,DiCE,10
100.0,-0.4915742060137665,0.356923076923077,0.2342857142857142,3.2499550097690424,0.6728571428571428,0.9372,0.5771,0.5789000000000001,0.583,0.0,0.0553571215011306,0.0911032532972408,0.0805874125764044,0.2396823406197133,0.0644002507002063,0.0490278832230531,0.0679909307677624,0.0717022392335909,0.0686310587286996,german-credit,TF2,DiCE-Ext,10
70.0,-2.2794611741556894,0.2479166666666666,0.05,9.484605299363054,0.3,0.4913333333333333,0.5771999999999999,0.5724,0.5338,16.99673171197595,0.5010584775834066,0.2152665767695349,0.1054092553389459,2.2153974024660075,0.0805076485899413,0.0932532725404646,0.107045992192349,0.0965162047418866,0.1052613678210365,lending-club,TF2,DiCE-Ext,10
93.33333333333331,-0.7648234126984127,0.5555555555555557,0.0249999999999999,3.354126984126984,0.7907407407407407,0.9082222222222222,0.6347777777777778,0.6155555555555555,0.599888888888889,10.0,0.3064699867422449,0.1855921454276674,0.05,0.5055111416319712,0.0954198002073203,0.0734213486967138,0.2375472467625008,0.2458465533168561,0.2280155940086359,compas-recidivism,PYT,DiCE-Ext,9
100.0,-0.0435333333333333,0.62,0.74,0.1979999999999999,0.285,0.7243999999999999,0.4905,0.4512999999999999,0.4516,0.0,0.0863721777334562,0.1020771918031631,0.3098386676965933,0.344455913787541,0.332540724323102,0.0735016250765171,0.1275584833190904,0.161968481158801,0.1668626847307556,adult-income,sklearn,DiCE-Ext,10
100.0,-0.0266357142857142,0.5966666666666667,0.675,0.1919047619047619,0.3683333333333333,0.8282999999999999,0.6013000000000001,0.576,0.5700999999999999,0.0,0.0352583548581267,0.0688530372659096,0.1607275126832159,0.3109393759890155,0.2231162571341023,0.0483024038969306,0.1435936009097279,0.1474102363398749,0.1500032962600785,compas-recidivism,sklearn,DiCE,10
100.0,-1.4915999999999998,0.2533333333333333,0.0299999999999999,10.664666666666664,0.825,0.9612,0.621,0.6291999999999999,0.6237,0.0,0.123402062931713,0.0958393717904347,0.0483045891539647,0.3770555187204275,0.0540061724867321,0.0162261791216813,0.0431483230007584,0.0357111871671733,0.0405299614825597,adult-income,TF2,DiCE-Ext,10
100.0,-0.5613857142857142,0.4866666666666667,0.0999999999999999,4.299214285714286,0.93,0.8956,0.9392,0.919,0.8848,0.0,0.1217589539095292,0.0945424328274784,0.1333333333333333,0.7954171775832841,0.1418136492412176,0.0221870833294209,0.0691677509955165,0.0699285349481883,0.0545115685988865,compas-recidivism,TF2,DiCE,10
96.0,-0.6036193172860789,0.20375,0.14875,4.332588763466342,0.7958333333333335,0.6459,0.4801,0.4667,0.4059999999999999,8.432740427115679,0.0828002691800041,0.1975588871422617,0.1017980708177822,0.2856155897383678,0.0794706638939998,0.0365466216708953,0.0641689609979432,0.0638506068882669,0.0764358845336694,lending-club,TF2,DiCE,10
100.0,-0.148553234311476,0.5569230769230769,0.5257142857142857,0.8910462938019996,0.4514285714285714,0.6064,0.5315000000000001,0.4338999999999999,0.3705,0.0,0.0792898428750811,0.0996509358071066,0.0634603095198387,0.4214275337783035,0.0531117847375188,0.1307645891584483,0.1967385461864439,0.1725684727225045,0.1895821428534051,german-credit,sklearn,DiCE-Ext,10
100.0,-0.1332370881443155,0.5634615384615385,0.5164285714285715,0.5276762375409881,0.4757142857142856,0.6164,0.5175000000000001,0.416,0.3398,0.0,0.0763688340740287,0.1188545207687378,0.0885797487131577,0.2179838968819759,0.0719189516115677,0.1070899933078094,0.2617005285945495,0.2263512511317065,0.208076802060094,german-credit,sklearn,DiCE,10
100.0,-0.0726163940314405,0.7076923076923077,0.6285714285714287,0.7038468040834905,0.5271428571428571,0.8976,0.4665,0.4556,0.4382,0.0,0.0157162139229098,0.0668636144123348,0.0602338601936834,0.1527194460056211,0.0853032472472748,0.0457704416991286,0.1116664179101706,0.1064844276565044,0.1104986676641648,german-credit,PYT,DiCE-Ext,10
76.0,-0.0590347222222222,0.7666666666666666,0.38,0.2636111111111111,0.6816666666666666,0.8317,0.5664,0.5518000000000001,0.5548,24.585451886114367,0.0410164697517358,0.1122167215373564,0.1549193338482966,0.1607064415530782,0.2908533634193452,0.0615432097527149,0.0852423994656806,0.0896583639278691,0.0909124120605468,adult-income,TF2,DiCE,10
100.0,-0.0814231280131533,0.723076923076923,0.5828571428571427,0.78703736387591,0.5985714285714286,0.8624,0.4558,0.4523,0.4246,0.0,0.0131666627044846,0.0721602424588219,0.0240935440774733,0.1432151236057295,0.0359200422202783,0.0409747889968128,0.1052212483822118,0.1092784923435938,0.1128806646173047,german-credit,PYT,DiCE,10
